construction_kind,curve_index,curve_label,family_label,a,b,s,t,F_integral,height_F,affine_point_count,projective_lower_bound,n_orbits,pari_height
d4_reciprocal,120,CURBA #120,D4_t=-31/81,9,-31,81,-31/81,81*x^6 - 31*x^4 - 31*x^2 + 81,81,14,16,3,200000
d4_reciprocal,121,CURBA #121,D4_t=-1/50,10,-2,100,-1/50,100*x^6 - 2*x^4 - 2*x^2 + 100,100,14,16,3,200000
d4_reciprocal,122,CURBA #122,D4_t=-119/121,11,-119,121,-119/121,121*x^6 - 119*x^4 - 119*x^2 + 121,121,14,16,3,200000
d4_reciprocal,123,CURBA #123,D4_t=-103/121,11,-103,121,-103/121,121*x^6 - 103*x^4 - 103*x^2 + 121,121,14,16,3,200000
d4_reciprocal,124,CURBA #124,D4_t=-23/72,12,-46,144,-23/72,144*x^6 - 46*x^4 - 46*x^2 + 144,144,14,16,3,200000
d4_reciprocal,125,CURBA #125,D4_t=151/49,7,151,49,151/49,49*x^6 + 151*x^4 + 151*x^2 + 49,151,14,16,3,200000
d4_reciprocal,126,CURBA #126,D4_t=79/2,2,158,4,79/2,4*x^6 + 158*x^4 + 158*x^2 + 4,158,14,16,3,200000
d4_reciprocal,127,CURBA #127,D4_t=161/81,9,161,81,161/81,81*x^6 + 161*x^4 + 161*x^2 + 81,161,14,16,3,200000
d4_reciprocal,128,CURBA #128,D4_t=-167/169,13,-167,169,-167/169,169*x^6 - 167*x^4 - 167*x^2 + 169,169,14,16,3,200000
d4_reciprocal,129,CURBA #129,D4_t=193/49,7,193,49,193/49,49*x^6 + 193*x^4 + 193*x^2 + 49,193,14,16,3,200000
d4_reciprocal,130,CURBA #130,D4_t=-97/98,14,-194,196,-97/98,196*x^6 - 194*x^4 - 194*x^2 + 196,196,14,16,3,200000
d4_reciprocal,131,CURBA #131,D4_t=23/98,14,46,196,23/98,196*x^6 + 46*x^4 + 46*x^2 + 196,196,14,16,3,200000
d4_reciprocal,132,CURBA #132,D4_t=71/98,14,142,196,71/98,196*x^6 + 142*x^4 + 142*x^2 + 196,196,14,16,3,200000
d4_reciprocal,133,CURBA #133,D4_t=-2,1,-2,1,-2,x^6 - 2*x^4 - 2*x^2 + 1,2,10,12,2,200000
d4_reciprocal,134,CURBA #134,D4_t=-1/4,2,-1,4,-1/4,4*x^6 - x^4 - x^2 + 4,4,10,12,2,200000
d4_reciprocal,135,CURBA #135,D4_t=-7,1,-7,1,-7,x^6 - 7*x^4 - 7*x^2 + 1,7,10,12,2,200000
d4_reciprocal,136,CURBA #136,D4_t=7/4,2,7,4,7/4,4*x^6 + 7*x^4 + 7*x^2 + 4,7,10,12,2,200000
d4_reciprocal,137,CURBA #137,D4_t=8,1,8,1,8,x^6 + 8*x^4 + 8*x^2 + 1,8,10,12,2,200000
d4_reciprocal,138,CURBA #138,D4_t=-9/4,2,-9,4,-9/4,4*x^6 - 9*x^4 - 9*x^2 + 4,9,10,12,2,200000
d4_reciprocal,139,CURBA #139,D4_t=2/3,3,6,9,2/3,9*x^6 + 6*x^4 + 6*x^2 + 9,9,10,12,2,200000
d4_reciprocal,140,CURBA #140,D4_t=-14,1,-14,1,-14,x^6 - 14*x^4 - 14*x^2 + 1,14,10,12,2,200000
d4_reciprocal,141,CURBA #141,D4_t=14,1,14,1,14,x^6 + 14*x^4 + 14*x^2 + 1,14,10,12,2,200000
d4_reciprocal,142,CURBA #142,D4_t=14/9,3,14,9,14/9,9*x^6 + 14*x^4 + 14*x^2 + 9,14,10,12,2,200000
d4_reciprocal,143,CURBA #143,D4_t=16,1,16,1,16,x^6 + 16*x^4 + 16*x^2 + 1,16,10,12,2,200000
d4_reciprocal,144,CURBA #144,D4_t=-7/16,4,-7,16,-7/16,16*x^6 - 7*x^4 - 7*x^2 + 16,16,10,12,2,200000
d4_reciprocal,145,CURBA #145,D4_t=9/16,4,9,16,9/16,16*x^6 + 9*x^4 + 9*x^2 + 16,16,10,12,2,200000
d4_reciprocal,146,CURBA #146,D4_t=-17/4,2,-17,4,-17/4,4*x^6 - 17*x^4 - 17*x^2 + 4,17,10,12,2,200000
d4_reciprocal,147,CURBA #147,D4_t=-17/9,3,-17,9,-17/9,9*x^6 - 17*x^4 - 17*x^2 + 9,17,10,12,2,200000
d4_reciprocal,148,CURBA #148,D4_t=17/9,3,17,9,17/9,9*x^6 + 17*x^4 + 17*x^2 + 9,17,10,12,2,200000
d4_reciprocal,149,CURBA #149,D4_t=-17/16,4,-17,16,-17/16,16*x^6 - 17*x^4 - 17*x^2 + 16,17,10,12,2,200000
d4_reciprocal,150,CURBA #150,D4_t=9/2,2,18,4,9/2,4*x^6 + 18*x^4 + 18*x^2 + 4,18,10,12,2,200000
d4_reciprocal,151,CURBA #151,D4_t=7/3,3,21,9,7/3,9*x^6 + 21*x^4 + 21*x^2 + 9,21,10,12,2,200000
d4_reciprocal,152,CURBA #152,D4_t=-21/16,4,-21,16,-21/16,16*x^6 - 21*x^4 - 21*x^2 + 16,21,10,12,2,200000
d4_reciprocal,153,CURBA #153,D4_t=-11/2,2,-22,4,-11/2,4*x^6 - 22*x^4 - 22*x^2 + 4,22,10,12,2,200000
d4_reciprocal,154,CURBA #154,D4_t=11/2,2,22,4,11/2,4*x^6 + 22*x^4 + 22*x^2 + 4,22,10,12,2,200000
d4_reciprocal,155,CURBA #155,D4_t=-23,1,-23,1,-23,x^6 - 23*x^4 - 23*x^2 + 1,23,10,12,2,200000
d4_reciprocal,156,CURBA #156,D4_t=23/16,4,23,16,23/16,16*x^6 + 23*x^4 + 23*x^2 + 16,23,10,12,2,200000
d4_reciprocal,157,CURBA #157,D4_t=25/4,2,25,4,25/4,4*x^6 + 25*x^4 + 25*x^2 + 4,25,10,12,2,200000
d4_reciprocal,158,CURBA #158,D4_t=-24/25,5,-24,25,-24/25,25*x^6 - 24*x^4 - 24*x^2 + 25,25,10,12,2,200000
d4_reciprocal,159,CURBA #159,D4_t=-4/5,5,-20,25,-4/5,25*x^6 - 20*x^4 - 20*x^2 + 25,25,10,12,2,200000
d4_reciprocal,160,CURBA #160,D4_t=-3/5,5,-15,25,-3/5,25*x^6 - 15*x^4 - 15*x^2 + 25,25,10,12,2,200000
d4_reciprocal,161,CURBA #161,D4_t=-2/5,5,-10,25,-2/5,25*x^6 - 10*x^4 - 10*x^2 + 25,25,10,12,2,200000
d4_reciprocal,162,CURBA #162,D4_t=1/25,5,1,25,1/25,25*x^6 + x^4 + x^2 + 25,25,10,12,2,200000
d4_reciprocal,163,CURBA #163,D4_t=2/5,5,10,25,2/5,25*x^6 + 10*x^4 + 10*x^2 + 25,25,10,12,2,200000
d4_reciprocal,164,CURBA #164,D4_t=14/25,5,14,25,14/25,25*x^6 + 14*x^4 + 14*x^2 + 25,25,10,12,2,200000
d4_reciprocal,165,CURBA #165,D4_t=3/5,5,15,25,3/5,25*x^6 + 15*x^4 + 15*x^2 + 25,25,10,12,2,200000
d4_reciprocal,166,CURBA #166,D4_t=4/5,5,20,25,4/5,25*x^6 + 20*x^4 + 20*x^2 + 25,25,10,12,2,200000
d4_reciprocal,167,CURBA #167,D4_t=24/25,5,24,25,24/25,25*x^6 + 24*x^4 + 24*x^2 + 25,25,10,12,2,200000
d4_reciprocal,168,CURBA #168,D4_t=-29/16,4,-29,16,-29/16,16*x^6 - 29*x^4 - 29*x^2 + 16,29,10,12,2,200000
d4_reciprocal,169,CURBA #169,D4_t=-31/9,3,-31,9,-31/9,9*x^6 - 31*x^4 - 31*x^2 + 9,31,10,12,2,200000
d4_reciprocal,170,CURBA #170,D4_t=32/9,3,32,9,32/9,9*x^6 + 32*x^4 + 32*x^2 + 9,32,10,12,2,200000
d4_reciprocal,171,CURBA #171,D4_t=-11/3,3,-33,9,-11/3,9*x^6 - 33*x^4 - 33*x^2 + 9,33,10,12,2,200000
d4_reciprocal,172,CURBA #172,D4_t=-34,1,-34,1,-34,x^6 - 34*x^4 - 34*x^2 + 1,34,10,12,2,200000
d4_reciprocal,173,CURBA #173,D4_t=-17/2,2,-34,4,-17/2,4*x^6 - 34*x^4 - 34*x^2 + 4,34,10,12,2,200000
d4_reciprocal,174,CURBA #174,D4_t=-34/25,5,-34,25,-34/25,25*x^6 - 34*x^4 - 34*x^2 + 25,34,10,12,2,200000
d4_reciprocal,175,CURBA #175,D4_t=7/5,5,35,25,7/5,25*x^6 + 35*x^4 + 35*x^2 + 25,35,10,12,2,200000
d4_reciprocal,176,CURBA #176,D4_t=-25/36,6,-25,36,-25/36,36*x^6 - 25*x^4 - 25*x^2 + 36,36,10,12,2,200000
d4_reciprocal,177,CURBA #177,D4_t=-1/12,6,-3,36,-1/12,36*x^6 - 3*x^4 - 3*x^2 + 36,36,10,12,2,200000
d4_reciprocal,178,CURBA #178,D4_t=23/36,6,23,36,23/36,36*x^6 + 23*x^4 + 23*x^2 + 36,36,10,12,2,200000
d4_reciprocal,179,CURBA #179,D4_t=13/18,6,26,36,13/18,36*x^6 + 26*x^4 + 26*x^2 + 36,36,10,12,2,200000
d4_reciprocal,180,CURBA #180,D4_t=37,1,37,1,37,x^6 + 37*x^4 + 37*x^2 + 1,37,10,12,2,200000
d4_reciprocal,181,CURBA #181,D4_t=-41/4,2,-41,4,-41/4,4*x^6 - 41*x^4 - 41*x^2 + 4,41,10,12,2,200000
d4_reciprocal,182,CURBA #182,D4_t=41/25,5,41,25,41/25,25*x^6 + 41*x^4 + 41*x^2 + 25,41,10,12,2,200000
d4_reciprocal,183,CURBA #183,D4_t=-14/3,3,-42,9,-14/3,9*x^6 - 42*x^4 - 42*x^2 + 9,42,10,12,2,200000
d4_reciprocal,184,CURBA #184,D4_t=44,1,44,1,44,x^6 + 44*x^4 + 44*x^2 + 1,44,10,12,2,200000
d4_reciprocal,185,CURBA #185,D4_t=44/9,3,44,9,44/9,9*x^6 + 44*x^4 + 44*x^2 + 9,44,10,12,2,200000
d4_reciprocal,186,CURBA #186,D4_t=-46/9,3,-46,9,-46/9,9*x^6 - 46*x^4 - 46*x^2 + 9,46,10,12,2,200000
d4_reciprocal,187,CURBA #187,D4_t=-23/18,6,-46,36,-23/18,36*x^6 - 46*x^4 - 46*x^2 + 36,46,10,12,2,200000
d4_reciprocal,188,CURBA #188,D4_t=-47,1,-47,1,-47,x^6 - 47*x^4 - 47*x^2 + 1,47,10,12,2,200000
d4_reciprocal,189,CURBA #189,D4_t=47/36,6,47,36,47/36,36*x^6 + 47*x^4 + 47*x^2 + 36,47,10,12,2,200000
d4_reciprocal,190,CURBA #190,D4_t=16/3,3,48,9,16/3,9*x^6 + 48*x^4 + 48*x^2 + 9,48,10,12,2,200000
d4_reciprocal,191,CURBA #191,D4_t=-49/16,4,-49,16,-49/16,16*x^6 - 49*x^4 - 49*x^2 + 16,49,10,12,2,200000
d4_reciprocal,192,CURBA #192,D4_t=-49/36,6,-49,36,-49/36,36*x^6 - 49*x^4 - 49*x^2 + 36,49,10,12,2,200000
d4_reciprocal,193,CURBA #193,D4_t=-46/49,7,-46,49,-46/49,49*x^6 - 46*x^4 - 46*x^2 + 49,49,10,12,2,200000
d4_reciprocal,194,CURBA #194,D4_t=-36/49,7,-36,49,-36/49,49*x^6 - 36*x^4 - 36*x^2 + 49,49,10,12,2,200000
d4_reciprocal,195,CURBA #195,D4_t=-23/49,7,-23,49,-23/49,49*x^6 - 23*x^4 - 23*x^2 + 49,49,10,12,2,200000
d4_reciprocal,196,CURBA #196,D4_t=-22/49,7,-22,49,-22/49,49*x^6 - 22*x^4 - 22*x^2 + 49,49,10,12,2,200000
d4_reciprocal,197,CURBA #197,D4_t=-8/49,7,-8,49,-8/49,49*x^6 - 8*x^4 - 8*x^2 + 49,49,10,12,2,200000
d4_reciprocal,198,CURBA #198,D4_t=-1/7,7,-7,49,-1/7,49*x^6 - 7*x^4 - 7*x^2 + 49,49,10,12,2,200000
d4_reciprocal,199,CURBA #199,D4_t=-2/49,7,-2,49,-2/49,49*x^6 - 2*x^4 - 2*x^2 + 49,49,10,12,2,200000
d4_reciprocal,200,CURBA #200,D4_t=6/49,7,6,49,6/49,49*x^6 + 6*x^4 + 6*x^2 + 49,49,10,12,2,200000
